client,site,location,Asset ID,Description,User,Test InstrSeaward,Date,Retest Period,Next Test,Result
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3311003,2PR LEAD,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3311004,PS LAPTOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334002,CL IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334003,PS LAPTOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334008,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334010,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334011,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334012,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334013,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334014,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334015,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334016,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334017,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334018,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334019,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3334020,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3342943,IEC IEC BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3342944,CL IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3342945,PS LAPTOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,3342946,PS LAPTOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501431,TWO PAIR IEC,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501432,POWER SUPPLY MONITOR,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501476,IEC LEAD CL,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501477,POWER SUPPLY,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501764,IEC LEAD CL,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501765,POWER SUPPLY LAP TOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501986,POWER SUPPLY MODEM,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5501987,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5502055,TWO PAIR LEAD,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5502056,POWER SUPPLY MONITOR,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5502134,IEC LEAD,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5504472,IEC LEAD CL,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,5504473,POWER SUPPLY LAP TOP,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,8601058,IEC LEAD BLK,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
Tenterfield Shire Council,TSC ADMIN,IT COMS HUBS,8601059,POWER SUPPLY,NM TTT51252,"Seaward
PrimeTest Pro
32Q-0883",3/06/2025,12 Months,3/06/2026,Pass
